Round,Date,Day,Time,GameTimePK,Statement
8,14/06/2019,Fri,19:30,r8_fri_20190614_1930,"r8_fri_20190614_1930 = GameTime(round= 8, when=datetime(year=2019, month=6, day=14, hour=19, minute=30))"
8,15/06/2019,Sat,08:30,r8_sat_20190615_0830,"r8_sat_20190615_0830 = GameTime(round= 8, when=datetime(year=2019, month=6, day=15, hour=8, minute=30))"
8,15/06/2019,Sat,10:00,r8_sat_20190615_1000,"r8_sat_20190615_1000 = GameTime(round= 8, when=datetime(year=2019, month=6, day=15, hour=10, minute=0))"
8,15/06/2019,Sat,11:30,r8_sat_20190615_1130,"r8_sat_20190615_1130 = GameTime(round= 8, when=datetime(year=2019, month=6, day=15, hour=11, minute=30))"
8,15/06/2019,Sat,13:00,r8_sat_20190615_1300,"r8_sat_20190615_1300 = GameTime(round= 8, when=datetime(year=2019, month=6, day=15, hour=13, minute=0))"
8,15/06/2019,Sat,15:00,r8_sat_20190615_1500,"r8_sat_20190615_1500 = GameTime(round= 8, when=datetime(year=2019, month=6, day=15, hour=15, minute=0))"
8,15/06/2019,Sat,17:00,r8_sat_20190615_1700,"r8_sat_20190615_1700 = GameTime(round= 8, when=datetime(year=2019, month=6, day=15, hour=17, minute=0))"
8,15/06/2019,Sat,19:00,r8_sat_20190615_1900,"r8_sat_20190615_1900 = GameTime(round= 8, when=datetime(year=2019, month=6, day=15, hour=19, minute=0))"
8,16/06/2019,Sun,08:30,r8_sun_20190616_0830,"r8_sun_20190616_0830 = GameTime(round= 8, when=datetime(year=2019, month=6, day=16, hour=8, minute=30))"
8,16/06/2019,Sun,10:00,r8_sun_20190616_1000,"r8_sun_20190616_1000 = GameTime(round= 8, when=datetime(year=2019, month=6, day=16, hour=10, minute=0))"
8,16/06/2019,Sun,11:30,r8_sun_20190616_1130,"r8_sun_20190616_1130 = GameTime(round= 8, when=datetime(year=2019, month=6, day=16, hour=11, minute=30))"
8,16/06/2019,Sun,13:00,r8_sun_20190616_1300,"r8_sun_20190616_1300 = GameTime(round= 8, when=datetime(year=2019, month=6, day=16, hour=13, minute=0))"
8,16/06/2019,Sun,15:00,r8_sun_20190616_1500,"r8_sun_20190616_1500 = GameTime(round= 8, when=datetime(year=2019, month=6, day=16, hour=15, minute=0))"
9,21/06/2019,Fri,18:00,r9_fri_20190621_1800,"r9_fri_20190621_1800 = GameTime(round= 9, when=datetime(year=2019, month=6, day=21, hour=18, minute=0))"
9,21/06/2019,Fri,19:30,r9_fri_20190621_1930,"r9_fri_20190621_1930 = GameTime(round= 9, when=datetime(year=2019, month=6, day=21, hour=19, minute=30))"
9,22/06/2019,Sat,08:30,r9_sat_20190622_0830,"r9_sat_20190622_0830 = GameTime(round= 9, when=datetime(year=2019, month=6, day=22, hour=8, minute=30))"
9,22/06/2019,Sat,10:00,r9_sat_20190622_1000,"r9_sat_20190622_1000 = GameTime(round= 9, when=datetime(year=2019, month=6, day=22, hour=10, minute=0))"
9,22/06/2019,Sat,11:30,r9_sat_20190622_1130,"r9_sat_20190622_1130 = GameTime(round= 9, when=datetime(year=2019, month=6, day=22, hour=11, minute=30))"
9,22/06/2019,Sat,13:00,r9_sat_20190622_1300,"r9_sat_20190622_1300 = GameTime(round= 9, when=datetime(year=2019, month=6, day=22, hour=13, minute=0))"
9,22/06/2019,Sat,15:00,r9_sat_20190622_1500,"r9_sat_20190622_1500 = GameTime(round= 9, when=datetime(year=2019, month=6, day=22, hour=15, minute=0))"
9,22/06/2019,Sat,17:00,r9_sat_20190622_1700,"r9_sat_20190622_1700 = GameTime(round= 9, when=datetime(year=2019, month=6, day=22, hour=17, minute=0))"
9,22/06/2019,Sat,19:00,r9_sat_20190622_1900,"r9_sat_20190622_1900 = GameTime(round= 9, when=datetime(year=2019, month=6, day=22, hour=19, minute=0))"
9,23/06/2019,Sun,08:30,r9_sun_20190623_0830,"r9_sun_20190623_0830 = GameTime(round= 9, when=datetime(year=2019, month=6, day=23, hour=8, minute=30))"
9,23/06/2019,Sun,10:00,r9_sun_20190623_1000,"r9_sun_20190623_1000 = GameTime(round= 9, when=datetime(year=2019, month=6, day=23, hour=10, minute=0))"
9,23/06/2019,Sun,11:30,r9_sun_20190623_1130,"r9_sun_20190623_1130 = GameTime(round= 9, when=datetime(year=2019, month=6, day=23, hour=11, minute=30))"
9,23/06/2019,Sun,13:00,r9_sun_20190623_1300,"r9_sun_20190623_1300 = GameTime(round= 9, when=datetime(year=2019, month=6, day=23, hour=13, minute=0))"
9,23/06/2019,Sun,15:00,r9_sun_20190623_1500,"r9_sun_20190623_1500 = GameTime(round= 9, when=datetime(year=2019, month=6, day=23, hour=15, minute=0))"
10,28/06/2019,Fri,18:00,r10_fri_20190628_1800,"r10_fri_20190628_1800 = GameTime(round= 10, when=datetime(year=2019, month=6, day=28, hour=18, minute=0))"
10,28/06/2019,Fri,19:30,r10_fri_20190628_1930,"r10_fri_20190628_1930 = GameTime(round= 10, when=datetime(year=2019, month=6, day=28, hour=19, minute=30))"
10,29/06/2019,Sat,08:30,r10_sat_20190629_0830,"r10_sat_20190629_0830 = GameTime(round= 10, when=datetime(year=2019, month=6, day=29, hour=8, minute=30))"
10,29/06/2019,Sat,10:00,r10_sat_20190629_1000,"r10_sat_20190629_1000 = GameTime(round= 10, when=datetime(year=2019, month=6, day=29, hour=10, minute=0))"
10,29/06/2019,Sat,11:30,r10_sat_20190629_1130,"r10_sat_20190629_1130 = GameTime(round= 10, when=datetime(year=2019, month=6, day=29, hour=11, minute=30))"
10,29/06/2019,Sat,13:00,r10_sat_20190629_1300,"r10_sat_20190629_1300 = GameTime(round= 10, when=datetime(year=2019, month=6, day=29, hour=13, minute=0))"
10,29/06/2019,Sat,15:00,r10_sat_20190629_1500,"r10_sat_20190629_1500 = GameTime(round= 10, when=datetime(year=2019, month=6, day=29, hour=15, minute=0))"
